name,direction,width
EMIOTTC1CLKI,i,3
SAXIACPARID,i,3
SAXIACPARPROT,i,3
SAXIACPAWID,i,3
SAXIACPAWPROT,i,3
SAXIACPWID,i,3
SAXIGP0ARPROT,i,3
SAXIGP0AWPROT,i,3
SAXIGP1ARPROT,i,3
SAXIGP1AWPROT,i,3
SAXIHP0ARPROT,i,3
SAXIHP0AWPROT,i,3
SAXIHP1ARPROT,i,3
SAXIHP1AWPROT,i,3
SAXIHP2ARPROT,i,3
SAXIHP2AWPROT,i,3
SAXIHP3ARPROT,i,3
SAXIHP3AWPROT,i,3
FTMDTRACEINDATA,i,3
FTMTF2PDEBUG,i,32
MAXIGP0RDATA,i,32
MAXIGP1RDATA,i,32
SAXIACPARADDR,i,32
SAXIACPAWADDR,i,32
SAXIGP0ARADDR,i,32
SAXIGP0AWADDR,i,32
SAXIGP0WDATA,i,32
SAXIGP1ARADDR,i,32
SAXIGP1AWADDR,i,32
SAXIGP1WDATA,i,32
SAXIHP0ARADDR,i,32
SAXIHP0AWADDR,i,32
SAXIHP1ARADDR,i,32
SAXIHP1AWADDR,i,32
SAXIHP2ARADDR,i,32
SAXIHP2AWADDR,i,32
SAXIHP3ARADDR,i,32
SAXIHP3AWADDR,i,32
DDRARB,i,32
EMIOSDIO0DATAI,i,4
EMIOSDIO1DATAI,i,4
FCLKCLKTRIGN,i,4
FTMDTRACEINATID,i,4
FTMTF2PTRIG,i,4
FTMTP2FTRIGACK,i,4
SAXIACPARCACHE,i,4
SAXIACPARLEN,i,4
SAXIACPARQOS,i,4
SAXIACPAWCACHE,i,4
SAXIACPAWLEN,i,4
SAXIACPAWQOS,i,4
SAXIGP0ARCACHE,i,4
SAXIGP0ARLEN,i,4
SAXIGP0ARQOS,i,4
SAXIGP0AWCACHE,i,4
SAXIGP0AWLEN,i,4
SAXIGP0AWQOS,i,4
SAXIGP0WSTRB,i,4
SAXIGP1ARCACHE,i,4
SAXIGP1ARLEN,i,4
SAXIGP1ARQOS,i,4
SAXIGP1AWCACHE,i,4
SAXIGP1AWLEN,i,4
SAXIGP1AWQOS,i,4
SAXIGP1WSTRB,i,4
SAXIHP0ARCACHE,i,4
SAXIHP0ARLEN,i,4
SAXIHP0ARQOS,i,4
SAXIHP0AWCACHE,i,4
SAXIHP0AWLEN,i,4
SAXIHP0AWQOS,i,4
SAXIHP1ARCACHE,i,4
SAXIHP1ARLEN,i,4
SAXIHP1ARQOS,i,4
SAXIHP1AWCACHE,i,4
SAXIHP1AWLEN,i,4
SAXIHP1AWQOS,i,4
SAXIHP2ARCACHE,i,4
SAXIHP2ARLEN,i,4
SAXIHP2ARQOS,i,4
SAXIHP2AWCACHE,i,4
SAXIHP2AWLEN,i,4
SAXIHP2AWQOS,i,4
SAXIHP3ARCACHE,i,4
SAXIHP3ARLEN,i,4
SAXIHP3ARQOS,i,4
SAXIHP3AWCACHE,i,4
SAXIHP3AWLEN,i,4
SAXIHP3AWQOS,i,4
SAXIACPARUSER,i,4
SAXIACPAWUSER,i,5
SAXIGP0ARID,i,6
SAXIGP0AWID,i,6
SAXIGP0WID,i,6
SAXIGP1ARID,i,6
SAXIGP1AWID,i,6
SAXIGP1WID,i,6
SAXIHP0ARID,i,6
SAXIHP0AWID,i,6
SAXIHP0WID,i,6
SAXIHP1ARID,i,6
SAXIHP1AWID,i,6
SAXIHP1WID,i,6
SAXIHP2ARID,i,6
SAXIHP2AWID,i,6
SAXIHP2WID,i,6
SAXIHP3ARID,i,6
SAXIHP3AWID,i,6
SAXIHP3WID,i,6
EMIOGPIOI,i,6
SAXIACPWDATA,i,64
SAXIHP0WDATA,i,64
SAXIHP1WDATA,i,64
SAXIHP2WDATA,i,64
SAXIHP3WDATA,i,64
EMIOENET0GMIIRXD,i,64
EMIOENET1GMIIRXD,i,8
SAXIACPWSTRB,i,8
SAXIHP0WSTRB,i,8
SAXIHP1WSTRB,i,8
SAXIHP2WSTRB,i,8
SAXIHP3WSTRB,i,8
